date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:03	37657/37657	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Sep%202022%2011:29:09%20GMT	https://adminlte.io/themes/v3/index.html	ngetes13/ngestes13/adminlte.io/themes/v3/index.html	(from )
18:17:04	122/122	---MCZ	200	added ('OK')	text/plain	date:Mon,%2031%20Jul%202023%2010:15:25%20GMT	https://adminlte.io/robots.txt		(from )
18:17:05	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22633582ee-e7a9%22	https://adminlte.io/themes/v3/plugins/fontawesome-free/css/all.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/fontawesome-free/css/all.min.css	(from https://adminlte.io/themes/v3/index.html)
18:17:06	11967/11967	---MCZ	200	added ('OK')	text/css	etag:W/%226335841c-2ebf%22	https://adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from https://adminlte.io/themes/v3/index.html)
18:17:07	12505/12505	---MCZ	200	added ('OK')	text/css	etag:W/%226335830e-30d9%22	https://adminlte.io/themes/v3/plugins/icheck-bootstrap/icheck-bootstrap.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://adminlte.io/themes/v3/index.html)
18:17:07	613/613	---MCZ	200	added ('OK')	text/css	etag:W/%226335834a-265%22	https://adminlte.io/themes/v3/plugins/jqvmap/jqvmap.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/jqvmap/jqvmap.min.css	(from https://adminlte.io/themes/v3/index.html)
18:17:09	1396747/1396747	---MCZ	200	added ('OK')	text/css	etag:W/%226335816d-15500b%22	https://adminlte.io/themes/v3/dist/css/adminlte.min.css?v=3.2.0	ngetes13/ngestes13/adminlte.io/themes/v3/dist/css/adminlte.min2167.css	(from https://adminlte.io/themes/v3/index.html)
18:17:10	20020/20020	---MCZ	200	added ('OK')	text/css	etag:W/%2263358383-4e34%22	https://adminlte.io/themes/v3/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://adminlte.io/themes/v3/index.html)
18:17:11	6371/6371	---MCZ	200	added ('OK')	text/css	etag:W/%226335823b-1f85%22	https://adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	(from https://adminlte.io/themes/v3/index.html)
18:17:12	19513/19513	---MCZ	200	added ('OK')	text/css	etag:W/%226335840c-4c39%22	https://adminlte.io/themes/v3/plugins/summernote/summernote-bs4.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/summernote/summernote-bs4.min.css	(from https://adminlte.io/themes/v3/index.html)
